Date,Open,High,Low,Close,Volume
03/27/2024,"56.38","57.64","56.38","57.61","13,762,770"
03/26/2024,"57.14","57.15","56.59","56.68","11,445,880"
03/25/2024,"57.08","57.33","56.37","56.73","15,028,150"
03/22/2024,"57.81","58.02","57.12","57.13","13,736,610"
03/21/2024,"57.59","58.12","57.45","57.85","18,141,699"
03/20/2024,"56.62","57.51","56.28","57.30","22,841,551"
03/19/2024,"57.65","57.94","56.92","57.01","14,504,760"
03/18/2024,"57.60","57.83","57.11","57.77","16,376,550"
03/15/2024,"56.86","58.30","56.86","57.51","40,782,801"
03/14/2024,"57.87","58.13","57.12","57.37","24,851,141"
03/13/2024,"57.62","58.44","57.62","57.82","17,444,930"
03/12/2024,"57.25","58.11","57.10","57.61","23,622,971"
03/11/2024,"56.78","57.35","56.52","57.09","16,622,039"
03/08/2024,"57.21","57.54","56.88","57.07","17,872,500"
03/07/2024,"57.05","57.68","56.87","57.00","18,116,289"
03/06/2024,"56.82","57.39","56.27","57.11","25,418,600"
03/05/2024,"55.71","57.10","55.43","56.60","21,786,061"
03/04/2024,"54.87","56.56","54.73","55.81","19,483,449"
03/01/2024,"55.40","55.75","54.90","55.06","17,760,949"
02/29/2024,"55.04","55.70","54.94","55.59","28,335,631"
02/28/2024,"54.74","55.42","54.57","54.72","20,045,240"
02/27/2024,"54.28","54.89","54.24","54.81","19,548,240"
02/26/2024,"53.75","54.56","53.68","54.13","18,099,869"
02/23/2024,"53.53","54.02","53.42","53.86","20,863,500"
02/22/2024,"52.83","53.91","52.75","53.37","20,467,920"
02/21/2024,"51.64","52.68","51.13","52.66","18,563,730"
02/20/2024,"51.50","52.24","51.27","51.77","19,839,119"
02/16/2024,"51.94","52.32","51.32","51.91","24,359,730"
02/15/2024,"48.73","52.45","48.62","52.04","46,473,551"
02/14/2024,"48.60","48.72","47.96","48.53","12,683,360"
02/13/2024,"48.40","48.71","47.59","48.24","13,660,050"
02/12/2024,"48.00","49.29","47.88","48.92","14,101,940"
02/09/2024,"48.22","48.27","47.47","48.06","16,593,980"
02/08/2024,"48.18","48.50","48.06","48.35","10,839,240"
02/07/2024,"48.45","48.60","47.45","48.48","15,839,620"
02/06/2024,"48.52","49.12","48.01","48.29","13,928,470"
02/05/2024,"48.61","48.92","48.24","48.70","14,202,720"
02/02/2024,"48.50","49.57","48.06","49.16","19,329,199"
02/01/2024,"49.82","49.97","47.88","48.73","27,566,100"
01/31/2024,"51.01","51.44","50.16","50.18","20,394,381"
01/30/2024,"50.63","51.27","50.62","51.19","14,736,830"
01/29/2024,"50.16","50.67","49.99","50.35","16,725,250"
01/26/2024,"49.84","50.50","49.77","50.32","19,211,131"
01/25/2024,"49.68","49.94","49.50","49.88","17,979,561"
01/24/2024,"49.37","50.09","49.25","49.49","17,776,029"
01/23/2024,"48.65","49.22","48.40","49.12","16,422,119"
01/22/2024,"48.23","48.93","48.16","48.53","19,372,221"
01/19/2024,"46.63","48.18","46.38","48.12","25,606,891"
01/18/2024,"46.55","46.62","46.12","46.44","17,901,250"
01/17/2024,"46.24","47.06","46.21","46.67","17,445,619"
01/16/2024,"46.77","47.06","46.22","46.82","25,209,850"
01/12/2024,"47.95","48.78","47.00","47.40","30,454,100"
01/11/2024,"48.89","49.08","48.34","49.04","21,049,150"
01/10/2024,"49.00","49.12","48.61","49.08","11,849,830"
